"","drivernumber","teamname","position","gridposition","status","race","year"
"1",77,"Mercedes",1,2,"Finished",1,2019
"2",44,"Mercedes",2,1,"Finished",1,2019
"3",33,"Red Bull Racing",3,4,"Finished",1,2019
"4",5,"Ferrari",4,3,"Finished",1,2019
"5",16,"Ferrari",5,5,"Finished",1,2019
"6",20,"Haas F1 Team",6,7,"Finished",1,2019
"7",27,"Renault",7,11,"+1 Lap",1,2019
"8",7,"Alfa Romeo Racing",8,9,"+1 Lap",1,2019
"9",18,"Racing Point",9,16,"+1 Lap",1,2019
"10",26,"Toro Rosso",10,15,"+1 Lap",1,2019
"11",10,"Red Bull Racing",11,17,"+1 Lap",1,2019
"12",4,"McLaren",12,8,"+1 Lap",1,2019
"13",11,"Racing Point",13,10,"+1 Lap",1,2019
"14",23,"Toro Rosso",14,13,"+1 Lap",1,2019
"15",99,"Alfa Romeo Racing",15,14,"+1 Lap",1,2019
"16",63,"Williams",16,19,"+2 Laps",1,2019
"17",88,"Williams",17,20,"+3 Laps",1,2019
"18",8,"Haas F1 Team",18,6,"Wheel",1,2019
"19",3,"Renault",19,12,"Damage",1,2019
"20",55,"McLaren",20,18,"Engine",1,2019
"21",44,"Mercedes",1,3,"Finished",2,2019
"22",77,"Mercedes",2,4,"Finished",2,2019
"23",16,"Ferrari",3,1,"Finished",2,2019
"24",33,"Red Bull Racing",4,5,"Finished",2,2019
"25",5,"Ferrari",5,2,"Finished",2,2019
"26",4,"McLaren",6,9,"Finished",2,2019
"27",7,"Alfa Romeo Racing",7,8,"Finished",2,2019
"28",10,"Red Bull Racing",8,13,"Finished",2,2019
"29",23,"Toro Rosso",9,12,"Finished",2,2019
"30",11,"Racing Point",10,14,"Finished",2,2019
"31",99,"Alfa Romeo Racing",11,16,"Finished",2,2019
"32",26,"Toro Rosso",12,15,"+1 Lap",2,2019
"33",20,"Haas F1 Team",13,6,"+1 Lap",2,2019
"34",18,"Racing Point",14,18,"+1 Lap",2,2019
"35",63,"Williams",15,19,"+1 Lap",2,2019
"36",88,"Williams",16,20,"+2 Laps",2,2019
"37",27,"Renault",17,17,"Engine",2,2019
"38",3,"Renault",18,10,"Out of fuel",2,2019
"39",55,"McLaren",19,7,"Collision damage",2,2019
"40",8,"Haas F1 Team",20,11,"Retired",2,2019
"41",44,"Mercedes",1,2,"Finished",3,2019
"42",77,"Mercedes",2,1,"Finished",3,2019
"43",5,"Ferrari",3,3,"Finished",3,2019
"44",33,"Red Bull Racing",4,5,"Finished",3,2019
"45",16,"Ferrari",5,4,"Finished",3,2019
"46",10,"Red Bull Racing",6,6,"Finished",3,2019
